code.int32(),name.string(),market.string(),code_of_industry_33.int32(),industry_33.string(),code_of_industry_17.int32(),industry_17.string(),code_of_group.int32(),group.string()
9687,ＫＳＫ,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9691,両毛システムズ,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9692,シーイーシー,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9695,鴨川グランドホテル,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9696,ウィザス,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9697,カプコン,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
9698,クレオ,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9699,西尾レントオール,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9701,東京會舘,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9702,アイ・エス・ビー,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
9704,アゴーラ　ホスピタリティー　グループ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9706,日本空港ビルデング,市場第一部（内国株）,8050,不動産業,17,不動産,4,TOPIX Mid400
9708,帝国ホテル,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9709,ＮＣＳ＆Ａ,市場第二部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9713,ロイヤルホテル,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9715,トランス・コスモス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9716,乃村工藝社,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9717,ジャステック,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
9719,ＳＣＳＫ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
9720,ホテル、ニューグランド,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9722,藤田観光,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9723,京都ホテル,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9726,ＫＮＴ－ＣＴホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9728,日本管財,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9729,トーカイ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9731,白洋舎,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9733,ナガセ,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9734,精養軒,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9735,セコム,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,2,TOPIX Large70
9739,日本システムウエア,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
9740,セントラル警備保障,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9742,アイネス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9743,丹青社,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9744,メイテック,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
9746,ＴＫＣ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
